상장유형,시장구분,종목명,상장일,공모가,공모금액,공모주식수,신주모집,구주매출,경쟁률,상장주식수,유통가능주식수,상장주선인
신규상장,KQ,인텍플러스,2011-01-05,7000 ,7000000 ,,,,,8005000 ,,한국투자증권(주)
신규상장,KQ,티에스이,2011-01-05,45000 ,36549000 ,,,,,3248298 ,,한국투자증권(주)
신규상장,KQ,알서포트,2011-01-05,2500 ,20000000 ,,,,,8620001 ,,케이비투자증권(주)
신규상장,KQ,씨그널엔터테인먼트그룹,2011-01-24,8500 ,7582000 ,,,,,3400000 ,,신영증권(주)
신규상장,KQ,다나와,2011-01-24,14000 ,20141044 ,,,,,6600000 ,,한국투자증권(주)
신규상장,KQ,블루콤,2011-01-26,12000 ,32400000 ,,,,,9600000 ,,엔에이치투자증권주식회사
신규상장,KQ,인트론바이오,2011-01-26,6100 ,3050000 ,,,,,9163333 ,,신한금융투자(주)
신규상장,KQ,엘비세미콘,2011-01-31,4700 ,37600000 ,,,,,43274592 ,,한국투자증권(주)
신규상장,KQ,제이엔케이히터,2011-01-31,13600 ,27200000 ,,,,,8000000 ,,엔에이치투자증권주식회사
신규상장,KQ,딜리,2011-01-31,8000 ,11760000 ,,,,,5470000 ,,현대증권(주)
신규상장,KQ,케이아이엔엑스,2011-02-08,8000 ,5760000 ,,,,,4800000 ,,하나금융투자(주)
신규상장,KQ,티피씨글로벌,2011-02-08,5200 ,6760000 ,,,,,5610345 ,,신영증권(주)
신규상장,KQ,나노신소재,2011-02-09,17000 ,30243000 ,,,,,7116000 ,,한국투자증권(주)
신규상장,KQ,부스타,2011-02-23,4200 ,8568000 ,,,,,8160000 ,,에이치엠씨투자증권(주)
신규상장,KQ,티케이케미칼,2011-04-26,5000 ,198000000 ,,,,,90000000 ,,엔에이치투자증권주식회사
신규상장,KQ,이퓨쳐,2011-04-27,6400 ,5760000 ,,,,,3635000 ,,삼성증권(주)
신규상장,KQ,골프존뉴딘홀딩스,2011-05-20,85000 ,170000000 ,,,,,12283023 ,,한국투자증권(주)
신규상장,KQ,KMH,2011-05-25,9500 ,29391480 ,,,,,12375360 ,,IBK투자증권(주)
신규상장,KQ,엘아이에스,2011-06-02,34000 ,24598286 ,,,,,3600000 ,,엔에이치투자증권주식회사
신규상장,KQ,완리,2011-06-13,4100 ,50020000 ,,,,,48696351 ,,삼성증권(주)
신규상장,KQ,스카이이앤엠,2011-06-14,14000 ,16399600 ,,,,,4270000 ,,SK증권(주)
신규상장,KQ,넥스트아이,2011-06-14,10000 ,10000000 ,,,,,5810945 ,,한국투자증권(주)
신규상장,KQ,유니드코리아,2011-06-17,5800 ,9912954 ,,,,,6800000 ,,부국증권(주)
신규상장,KQ,서연탑메탈,2011-06-24,6500 ,21450000 ,,,,,11650000 ,,현대증권(주)
신규상장,KQ,대양전기공업,2011-07-08,9000 ,25650000 ,,,,,9495300 ,,삼성증권(주)
신규상장,KQ,옵티시스,2011-07-12,7600 ,5320000 ,,,,,5636000 ,,키움증권(주)
신규상장,KQ,나이벡,2011-07-13,10000 ,7340000 ,,,,,2935996 ,,대신증권(주)
신규상장,KQ,상아프론테크,2011-07-21,6000 ,15000000 ,,,,,12289470 ,,한국투자증권(주)
신규상장,KQ,시티랩스,2011-07-29,7100 ,9478500 ,,,,,5100040 ,,유안타증권(주)
신규상장,KQ,제닉,2011-08-03,22000 ,19800000 ,,,,,3922909 ,,교보증권(주)
신규상장,KQ,아이씨디,2011-08-05,34000 ,52700000 ,,,,,7721832 ,,유안타증권(주)
신규상장,KQ,제이씨케미칼,2011-08-08,7200 ,24048000 ,,,,,13340000 ,,삼성증권(주)
신규상장,KQ,화진,2011-08-10,4300 ,12304880 ,,,,,12100000 ,,에이치엠씨투자증권(주)
신규상장,KQ,원익피앤이,2011-09-27,8000 ,12000000 ,,,,,6176000 ,,교보증권(주)
신규상장,KQ,대한과학,2011-10-11,3000 ,4200000 ,,,,,5525130 ,,대우증권(주)
신규상장,KQ,로보스타,2011-10-17,5800 ,6805888 ,,,,,7800000 ,,미래에셋증권(주)
신규상장,KQ,케이맥,2011-10-25,14500 ,17400000 ,,,,,6188500 ,,현대증권(주)
신규상장,KQ,원익테라세미콘,2011-11-01,13500 ,16200000 ,,,,,8045902 ,,"삼성증권(주),엘아이지투자증권(주)"
신규상장,KQ,씨엔플러스,2011-11-02,11500 ,9200000 ,,,,,4150001 ,,한국투자증권(주)
신규상장,KQ,에스엠코어,2011-11-08,8500 ,13396000 ,,,,,6643000 ,,한국투자증권(주)
신규상장,KQ,씨큐브,2011-11-08,5750 ,5510731 ,,,,,5500000 ,,대신증권(주)
신규상장,KQ,테크윙,2011-11-10,23000 ,14950000 ,,,,,4771040 ,,한국투자증권(주)
신규상장,KQ,에이티세미콘,2011-11-11,2400 ,24000000 ,,,,,46330294 ,,미래에셋증권(주)
신규상장,KQ,에디슨EV,2011-11-18,9500 ,9137100 ,,,,,3600000 ,,하이투자증권(주)
신규상장,KQ,와이지엔터테인먼트,2011-11-23,34000 ,42382326 ,,,,,4986157 ,,대우증권(주)
신규상장,KQ,이엠넷,2011-11-25,6400 ,9600000 ,,,,,5500000 ,,케이비투자증권(주)
신규상장,KQ,신진에스엠,2011-11-28,15000 ,13500000 ,,,,,4500000 ,,한화투자증권(주)
신규상장,KQ,에스에프씨,2011-11-30,14000 ,22860600 ,,,,,6432621 ,,엔에이치투자증권주식회사
신규상장,KQ,비덴트,2011-12-01,12000 ,12600000 ,,,,,5250000 ,,한국투자증권(주)
신규상장,KQ,키네마스터,2011-12-02,6000 ,3975600 ,,,,,6625551 ,,신한금융투자(주)
신규상장,KQ,파인넥스,2011-12-05,65000 ,52650000 ,,,,,5995369 ,,한국투자증권(주)
신규상장,KQ,씨유메디칼,2011-12-15,12000 ,9600000 ,,,,,4780806 ,,현대증권(주)
신규상장,KQ,서암기계공업,2011-12-19,3800 ,11970000 ,,,,,12600000 ,,한국투자증권(주)
신규상장,KQ,시큐브,2011-12-21,4900 ,4458226 ,,,,,6200000 ,,SK증권(주)
신규상장,KQ,나이스디앤비,2011-12-22,1700 ,6664000 ,,,,,15400000 ,,대신증권(주)
신규상장,KQ,디엔에이링크,2011-12-26,7700 ,5069819 ,,,,,4115930 ,,미래에셋증권(주)
신규상장,KQ,원익머트리얼즈,2011-12-28,27000 ,45029277 ,,,,,5800000 ,,유안타증권(주)
신규상장,KQ,메지온,2012-01-20,24000 ,54408000 ,,,,,8068000 ,,엔에이치투자증권주식회사
신규상장,KQ,남화토건,2012-01-31,3000 ,9000000 ,,,,,11740000 ,,에이치엠씨투자증권(주)
신규상장,KQ,뉴로스,2012-02-15,8500 ,4250000 ,,,,,4191242 ,,교보증권(주)
신규상장,KQ,사람인에이치알,2012-02-21,5000 ,12150350 ,,,,,8800000 ,,현대증권(주)
신규상장,KQ,빛샘전자,2012-03-21,4400 ,3432000 ,,,,,5000000 ,,미래에셋증권(주)
신규상장,KQ,비아트론,2012-05-04,15900 ,18285000 ,,,,,9931870 ,,한국투자증권(주)
신규상장,KQ,피엔티,2012-07-06,17000 ,13712846 ,806638 ,806638 ,,1116.89:1,3209547 ,1354294 ,하나금융투자(주)
신규상장,KQ,디지탈옵틱,2012-07-13,11500 ,15807900 ,1374600 ,1374600 ,,596.87:1,5393177 ,2798599 ,신한금융투자(주)
신규상장,KQ,네이블,2012-07-19,9000 ,5400000 ,600000 ,600000 ,,241.42:1,4326601 ,2428235 ,한국투자증권(주)
신규상장,KQ,엠씨넥스,2012-07-25,15000 ,12000000 ,800000 ,800000 ,,1.7:1,5749271 ,3588453 ,한국투자증권(주)
신규상장,KQ,우양에이치씨,2012-07-26,5500 ,13915000 ,,,,,12090183 ,,한화투자증권(주)
신규상장,KQ,나노스,2012-08-02,7000 ,10500000 ,1500000 ,1500000 ,,438.54:1,7316920 ,3332895 ,한화투자증권(주)
신규상장,KQ,모다,2012-09-25,7000 ,4900000 ,700000 ,700000 ,,500.09:1,4908000 ,2568770 ,키움증권(주)
신규상장,KQ,코이즈,2012-09-27,7500 ,8850000 ,1180000 ,1180000 ,,609.99:1,6156166 ,2305550 ,한국투자증권(주)
신규상장,KQ,아바텍,2012-11-06,6300 ,18585000 ,2950000 ,2950000 ,,551.8:1,16000000 ,5382632 ,한국투자증권(주)
신규상장,KQ,와이엠씨,2012-11-15,6000 ,11677914 ,1946319 ,1946319 ,,577.18:1,9731593 ,4678769 ,엔에이치투자증권주식회사
신규상장,KQ,맥스로텍,2012-11-16,7000 ,7000000 ,1000000 ,1000000 ,,1131.8:1,5714280 ,2539405 ,미래에셋증권(주)
신규상장,KQ,디젠스,2012-11-22,1800 ,9000000 ,5000000 ,5000000 ,,710.64:1,18250000 ,4782460 ,엔에이치투자증권주식회사
신규상장,KQ,우리로,2012-11-27,10300 ,21504103 ,2087777 ,2087777 ,,194.87:1,6742878 ,2785992 ,미래에셋증권(주)
신규상장,KQ,SBI핀테크솔루션즈,2012-12-17,3600 ,19229040 ,5341400 ,5341400 ,,2.4:1,21365400 ,4813136 ,하나금융투자(주)
신규상장,KQ,스킨앤스킨,2012-12-27,10000 ,12000000 ,1200000 ,1200000 ,,12.15:1,8074763 ,3008655 ,키움증권(주)
신규상장,KQ,포티스,2013-01-29,3900 ,4853550 ,1244500 ,1244500 ,,834:1,4977833 ,3216522 ,하나금융투자(주)
신규상장,KQ,아이센스,2013-01-30,19000 ,17100000 ,900000 ,900000 ,,714.497:1,8969634 ,5063263 ,엔에이치투자증권주식회사
신규상장,KQ,우리이앤엘,2013-02-05,4900 ,44100000 ,9000000 ,9000000 ,,3.04:1,32000000 ,15862600 ,현대증권(주)
신규상장,KQ,아이원스,2013-02-07,4500 ,9884160 ,2196480 ,2196480 ,,638.66:1,8500000 ,3828272 ,엔에이치투자증권주식회사
신규상장,KQ,지디,2013-02-13,18000 ,43200000 ,2400000 ,2400000 ,,536.3:1,11934061 ,4923648 ,미래에셋증권(주)
신규상장,KQ,제로투세븐,2013-02-19,8300 ,24900000 ,3000000 ,3000000 ,,750.87:1,11540000 ,2581587 ,현대증권(주)
신규상장,KQ,코렌텍,2013-03-05,16000 ,19200000 ,1200000 ,1200000 ,,586.12:1,7883661 ,4715455 ,한국투자증권(주)
신규상장,KQ,윈팩,2013-03-07,4000 ,10109624 ,2527406 ,2527406 ,,39.65:1,14200000 ,5493000 ,키움증권(주)
신규상장,KQ,참존글로벌,2013-04-03,7800 ,8580000 ,1100000 ,1100000 ,,514:1,4221000 ,1137762 ,IBK투자증권(주)
신규상장,KQ,삼목강업,2013-04-30,2600 ,8320000 ,3200000 ,2550000 ,650000 ,276.7887:1,10200000 ,2975892 ,교보증권(주)
