종목명,상장유형,공모가,상장일,상장주식수,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA
화신정공,신규상장,2000,2010-08-31,12500000,0.081092459,0.048343467,0.136678752,1.257692743,1.187046947,0.933574845,29.00571463,4.509968248,41.24511451,0.289009065,0.129708754,7.004869225,0.957416782,5.711180625
씨젠,신규상장,30500,2010-09-10,6158820,0.754496867,0.348643361,0.707227826,1.426368508,1.369977049,1.20624316,14.92592231,2.662169096,32.165551,2.115422718,-20.57175565,39.98064224,28.27542269,34.64598019
와이솔,신규상장,8000,2010-09-10,10200000,0.357081987,0.220607564,0.359527512,1.924811748,1.673737097,0.746417791,20.80160781,3.296541082,14.80363537,3.893599252,5.1983911,13.09766945,4.708972514,9.910679522
하이비젼시스템,신규상장,2000,2010-09-10,10210000,0.503412263,0.243031116,0.308964091,2.569293364,2.064592053,0.353452444,52.80178372,4.419402387,8.683168949,,,17.51022144,5.410029644,13.00294941
다원시스,신규상장,11000,2010-09-14,6400000,0.293094666,0.137836322,0.26442588,1.81014306,1.728136378,0.885068291,7.072615321,3.802144424,45.23490835,0.715052688,3.587246244,21.20858827,5.608099625,15.01122042
알파홀딩스,신규상장,12000,2010-09-17,4016448,0.17908147,0.103499034,0.293752725,1.876641276,1.791692453,1.180123991,86.14420492,7.728265585,32.25095154,0.522886094,0.419644476,12.77666525,3.753180234,13.45106689
포메탈,신규상장,6000,2010-09-17,5987340,0.137809513,0.063187153,0.163739461,1.579037094,1.388157014,0.804174002,11.88237821,4.576189049,24.07907214,-0.147425423,-0.372945349,14.54866938,2.382191277,9.503835932
한일진공,신규상장,2000,2010-10-05,10540000,0.229427234,0.059854128,0.015069389,0.946356956,0.630342451,1.655537389,3.008698892,4.084450858,5.789064752,0.045723912,1.924988854,331.3631791,4.993440779,18.34599648
아이씨케이,신규상장,2800,2010-10-19,10937077,0.191725642,0.088338044,0.210253016,1.625356765,0.925629235,0.978289229,4.572390119,11.30510193,4.863109856,0.345456216,1.027120101,12.63175819,2.655865262,8.024042453
지나인제약,신규상장,5800,2010-10-22,4650271,0.153144692,0.076315547,0.246824068,0.613744234,0.432568328,2.246175287,4.187974939,7.627630302,13.45922193,0.952726956,1.783672891,5.723823427,1.412777384,2.96190977
인화정공,신규상장,26000,2010-10-22,4344504,0.288710076,0.24917401,0.152983726,1.124875355,0.748737428,0.835482673,5.023911752,3.724821712,5.948556317,-0.057785913,0.058654782,10.84916318,1.659745408,5.254531896
누리플랜,신규상장,5500,2010-10-26,4310000,0.22080742,0.068813148,0.222015403,1.068889492,0.818468684,1.449480703,6.66176148,4.974597086,10.05425074,0.00422207,0.128147104,6.756722091,1.500096378,6.340137505
아이텍,신규상장,9100,2010-10-26,4612500,0.375095351,0.269763974,0.254651756,1.206808761,1.206808761,0.84039197,9.221346886,8.168473006,,0.955202021,4.187820001,12.32641193,3.138942442,5.646830953
KNN,신규상장,9000,2010-11-03,13242972,0.403990437,0.121625305,0.059637068,7.60718192,7.602943074,0.053053372,inf,3.930542436,1792.794506,-0.05145205,-0.030326619,17.61130831,1.050286784,13.21364267
KH 일렉트론,신규상장,8800,2010-11-05,9500000,0.309451337,0.203287756,0.324120154,3.905529309,3.600533388,0.242025913,7945.068674,6.52806871,31.91402666,0.759866771,1.66040354,6.940953327,2.249702863,4.658329125
아나패스,신규상장,52000,2010-11-05,3366190,0.428930679,0.290629282,0.76834133,4.445447698,3.675207272,0.318797458,187.0073626,13.32074271,11.68134003,4.595668548,149.4426645,10.18072512,7.822271884,10.34074724
선데이토즈,신규상장,4000,2010-11-10,5232000,1,0.305841293,0.454481976,250.6821192,250.6821192,0.003294929,,,,,,502.4006146,228.3320241,502.7729602
디케이락,신규상장,7500,2010-11-12,6200000,0.37773,0.22123993,0.32980533,2.27609779,1.151017376,1.04746906,8.505350705,3.975212457,3.560159883,0.129291355,0.612145603,10.18902057,3.360393292,6.067012571
코프라,신규상장,7000,2010-11-12,5800000,0.174479108,0.076959753,0.225420001,1.999679169,1.29207203,0.720061782,26.87345337,4.403356239,7.21715496,0.227967882,0.190366546,13.44290293,3.030299185,10.47539809
한국전자인증,신규상장,1600,2010-11-19,21400000,0.689430641,0.181602215,0.171805919,2.560872004,2.560872272,0.580136451,57185.92105,4.677623144,,0.158222562,0.310187382,14.51227482,2.493294719,11.75295803
시그네틱스,신규상장,2600,2010-11-26,77288319,0.109155092,0.082851617,0.136014625,1.06787221,0.808678227,1.17311751,3.280442433,9.25302413,20.83718182,0.056072304,0.021156254,17.85929369,2.429125135,5.722644887
썬텍,신규상장,6800,2010-11-26,4200000,0.283823553,0.184938997,0.435775177,1.589591571,0.920362225,0.711184368,17.71992917,5.233395331,6.557228283,0.551224543,4.727719551,7.353467484,3.204458596,4.830363485
티비씨,신규상장,7500,2010-11-29,10000000,0.376135709,0.128468541,0.065747309,11.55920493,11.54404171,0.068592611,240.1060517,3.324319453,383.0425028,-0.154817909,0.447647247,14.32642863,0.941924135,14.15799334
에이루트,신규상장,5500,2010-12-01,5000000,0.319036035,0.185704702,0.225280085,2.461633893,2.194860412,0.436586241,15.3766497,13.52212481,14.59425807,0.090425168,-0.104842076,8.611721586,1.94004937,5.252230186
디에이치피코리아,신규상장,4000,2010-12-03,7250000,0.455777922,0.03173837,0.012445562,2.384304136,2.211930267,1.565863676,1.33454612,4.544421472,24.86394585,-0.272092567,-0.685762686,358.4938314,4.46165721,27.3054657
대정화금,신규상장,9200,2010-12-20,5537272,0.266266381,0.16035389,0.175277443,2.154607251,1.451056176,0.401794588,25.62745654,4.914568843,6.640451176,0.193213305,0.634812584,10.33559607,1.811596852,8.171491931
이브이첨단소재,신규상장,2700,2010-12-27,15000000,0.12942383,0.045102989,0.204823715,0.837749925,0.554282425,2.493123926,4.005840961,6.487475476,9.897716505,0.378644961,0.377239266,18.30130454,3.748541193,9.56113718
인텍플러스,신규상장,7000,2011-01-05,8005000,0.33435688,0.095234316,0.238578393,2.016797542,1.412635984,0.823913486,6.478178883,3.007333484,4.105770522,0.047940599,0.17571338,21.50693223,5.131089328,23.82499135
티에스이,신규상장,45000,2011-01-05,3248298,0.231249557,0.092977389,0.053487456,3.810539982,2.928192747,0.131513672,inf,4.786488285,8.531051417,-0.198774655,-0.14733943,35.36031996,1.891333575,13.1242011
알서포트,신규상장,2500,2011-01-05,8620001,,,,,,,,,,,,,,
씨그널엔터테인먼트그룹,신규상장,8500,2011-01-24,3400000,0.124594516,0.058494,0.167943126,4.001345181,3.324294314,0.33008533,26.61984692,6.793426009,15.03383842,0.760976978,0.95983803,11.03631367,1.853473017,10.43264866
다나와,신규상장,14000,2011-01-24,6600000,1,0.358846244,0.355287092,5.116892376,5.116892759,0.312994413,215.5469096,6.335837715,,0.245256924,0.28318928,16.74690318,5.949958531,14.04315385
